name,shape,parameters,trainable,category
backbone.backbone.enc.enc4.block1.cpe.1.bias,[512],512,True,CPE linear + norm
backbone.backbone.enc.enc4.block1.cpe.2.weight,[512],512,True,CPE linear + norm
backbone.backbone.enc.enc4.block1.cpe.2.bias,[512],512,True,CPE linear + norm
backbone.backbone.enc.enc4.block1.norm1.0.weight,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block1.norm1.0.bias,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block1.attn.qkv.weight,"[1536, 512]",786432,True,Attention QKV + projection
backbone.backbone.enc.enc4.block1.attn.qkv.bias,[1536],1536,True,Attention QKV + projection
backbone.backbone.enc.enc4.block1.attn.proj.weight,"[512, 512]",262144,True,Attention QKV + projection
backbone.backbone.enc.enc4.block1.attn.proj.bias,[512],512,True,Attention QKV + projection
backbone.backbone.enc.enc4.block1.norm2.0.weight,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block1.norm2.0.bias,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block1.mlp.0.fc1.weight,"[2048, 512]",1048576,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block1.mlp.0.fc1.bias,[2048],2048,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block1.mlp.0.fc2.weight,"[512, 2048]",1048576,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block1.mlp.0.fc2.bias,[512],512,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block1.t_mlp.weight,"[512, 3]",1536,True,Time conditioning
backbone.backbone.enc.enc4.block1.t_mlp.bias,[512],512,True,Time conditioning
backbone.backbone.dec.dec3.up.proj.0.weight,"[256, 512]",131072,True,Stem + pool/unpool
backbone.backbone.dec.dec3.up.proj.0.bias,[256],256,True,Stem + pool/unpool
